Date of Launch,Geographic Coordinate,COSPAR Number,NORAD Number,Current Official Name of Satellite,Launch Site,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Launch Vehicle,Expected Lifetime (yrs.),Contractor,Country of Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Comments,Unnamed: 27,Source Used for Orbital Data,lat,lon,date,weathercode,temperature_2m_mean,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,cloudcover_mean,relative_humidity_2m_mean,weather_summary,Launch Year,year
1974-11-15,"(34.74738558053763, -120.57287382598979)",1974-089B,7530,Amsat-Oscar 7,Vandenberg AFB,USA,USA,AMSAT-NA,Delta 2310,,Amsat-NA,USA,Civil,Communications,,LEO,Polar,0.0,1440.0,1459.0,0.001214911439350342,101.4,114.9,29.0,,,American amateur radio satellite.,,www.satellitedebris.net 12/12,34.74738558053763,-120.57287382598979,1974-11-15,3,14.1,0.0,0.0,26.1,44.6,71,87,Parcialmente nublado,1974,1974
1988-09-29,"(28.478816053592052, -80.57606021672525)",1988-091B,19548,TDRS-3,Cape Canaveral,USA,USA,National Aeronautics and Space Administration (NASA),Space Shuttle (STS 26),10.0,TRW Defense and Space Systems Group,USA,Government,Communications,,GEO,,-49.0,35693.0,35878.0,0.002194256977144145,11.53,1436.06,3180.0,1600,1800,Backup; still partially operational.,,JM/12_08,28.478816053592052,-80.57606021672525,1988-09-29,51,25.9,0.7,3.0,22.6,36.7,28,76,Lluvia ligera,1988,1988
1989-09-25,"(28.478816053592052, -80.57606021672525)",1989-077A,20253,USA 46,Cape Canaveral,USA,USA,US Navy,Atlas Centaur,5.0,"TRW, Defense and Space Systems Group",USA,Military,Communications,,GEO,,-14.74,35745.0,35829.0,0.0009962758260787057,8.97,1436.13,2310.0,1884,,Old system replaced by UFO satellites; this satellite still operational as of 2009.,,JM/2_09,28.478816053592052,-80.57606021672525,1989-09-25,61,27.1,4.3,8.0,19.4,33.5,100,83,Lluvia ligera,1989,1989
1990-04-25,"(28.478816053592052, -80.57606021672525)",1990-037B,20580,Hubble Space Telescope,Cape Canaveral,USA,ESA,European Space Agency (ESA)/NASA,Space Shuttle (STS 31),10.0,European Space Agency/NASA,International,Government,Space Science,,LEO,Non-Polar Inclined,0.0,555.0,559.0,0.00028872527789807997,28.5,95.8,11110.0,,2400,Exploration of space.,,www.satellitedebris.net 12/12,28.478816053592052,-80.57606021672525,1990-04-25,2,22.9,0.0,0.0,24.2,39.2,26,63,Parcialmente nublado,1990,1990
1990-08-30,"(5.23314401858844, -52.776983796694616)",1990-079A,20776,Skynet 4C,Guiana Space Center,ESA,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Ariane 44LP,7.0,Astrium,France/UK/Germany,Military,Communications,,GEO,,-1.3,35785.0,35787.0,2.3721415694088623e-05,13.6,1436.07,1474.0,850,1200,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 6 hrs of communication to the National Science Foundation each day.,,JM/12_08,5.23314401858844,-52.776983796694616,1990-08-30,61,26.1,6.8,16.0,15.9,33.1,45,85,Lluvia ligera,1990,1990
1991-08-02,"(28.478816053592052, -80.57606021672525)",1991-054B,21639,TDRS-5,Cape Canaveral,USA,USA,SES S.A.,Space Shuttle (STS 43),10.0,TRW Defense and Space Systems Group,USA,Commercial/Government,Communications,,GEO,,-174.0,35773.0,35796.0,0.0002728059874983691,9.4,1436.99,3180.0,1600,1800,Used by South Pole station.,,JM/12_08,28.478816053592052,-80.57606021672525,1991-08-02,55,26.9,1.8,3.0,17.4,27.0,51,87,Lluvia ligera,1991,1991
1992-07-24,"(28.478816053592052, -80.57606021672525)",1992-044A,22049,Geomagnetic Tail Laboratory (Geotail),Cape Canaveral,Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Delta 2,,NASA/Goddard Space Flight Center,USA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.0,49551.0,191451.0,0.5592294535394219,9.39,2474.83,980.0,,273,Study the dynamics of the Earth's magnetotail over a wide range of distance,,WT,28.478816053592052,-80.57606021672525,1992-07-24,53,27.4,1.3,5.0,20.2,31.3,51,82,Lluvia ligera,1992,1992
1993-01-13,"(28.478816053592052, -80.57606021672525)",1993-003B,22314,TDRS-6,Cape Canaveral,USA,USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Space Shuttle (STS 54),10.0,TRW Defense and Space Systems Group,USA,Commercial/Government,Communications,,GEO,,-171.35,35773.0,35787.0,0.000166073546856465,8.74,1435.7,3180.0,1600,1800,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.",,JM/12_08,28.478816053592052,-80.57606021672525,1993-01-13,3,22.8,0.0,0.0,17.0,24.1,85,89,Parcialmente nublado,1993,1993
1993-02-09,"(28.478816053592052, -80.57606021672525)",1993-009B,22491,SCD-1,Cape Canaveral,Brazil,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Pegasus,3.0,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0.0,716.0,776.0,0.0042158516020236085,25.0,99.7,110.0,,70,Collects meteorological and environmental data on the Amazon region; barely functioning.,,www.satellitedebris.net 12/12,28.478816053592052,-80.57606021672525,1993-02-09,51,16.6,0.2,1.0,14.3,20.9,99,70,Lluvia ligera,1993,1993
1993-09-03,"(28.478816053592052, -80.57606021672525)",1993-056A,22787,USA 95,Cape Canaveral,USA,USA,US Navy,Atlas 2,,Boeing Satellite Systems,USA,Military,Communications,,GEO,,28.79,35766.0,35807.0,0.0004862832540652094,8.27,1436.12,3200.0,1545,"2,800 (EOL)",Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,,JM/12_08,28.478816053592052,-80.57606021672525,1993-09-03,51,27.7,0.6,3.0,19.1,29.5,17,77,Lluvia ligera,1993,1993
